Symbol,11/6/2025 16:00:00,11/7/2025 16:00:00,11/10/2025 16:00:00,11/11/2025 16:00:00,11/12/2025 16:00:00,11/13/2025 16:00:00,11/14/2025 16:00:00,11/17/2025 16:00:00,11/18/2025 16:00:00,11/19/2025 16:00:00,11/20/2025 16:00:00,11/21/2025 16:00:00,11/24/2025 16:00:00,11/25/2025 16:00:00,11/26/2025 16:00:00,12/2/2025 16:00:00,12/3/2025 16:00:00,12/4/2025 16:00:00,12/5/2025 16:00:00
VMM,1.31,1.3,1.38,1.38,1.45,1.33,1.35,1.38,1.32,1.35,1.37,1.26,1.34,1.4,0.98,1.03,1.12,1.17,1.17
CRAFTSMAN,6772.5,6770.5,6789.5,7175.5,7072,6830.5,6746,6784,6707,6776.5,6770,6744,6660,7021,7101,7050,7024.5,7044,6955,7053.5,7038.5,7102.5
BHARTIHEXA,1813.9,1761.8,1771.1,1796.4,1800.9,1806.1,1776.9,1785,1829.3,1828.1,1836.1,1759.3,1745.1,1777.4,1778.8,1754.8,1768.3,1748.7,1730.4,1755.2,1764.9,1758.7
RENUKA,28.91,27.83,28.63,28.26,28.24,28.26,28.23,28.15,28.27,28.23,28.24,27.96,27.45,26.82,27.23,27.18,26.71,26.75,26.7,26.7,26.77,26.44
NIVABUPA,75.43,76.03,76,76.02,76.45,76.09,76.57,77.96,77.41,76.03,76.9,75.57,74.27,76.08,75.71,74.77,74.34,73.86,74.76,74.79,74.41,73.48
SAREGAMA,426.35,409.1,418.95,407.7,407.8,396.8,399.9,396.25,396.55,388.35,388.2,375,370.55,370.9,380.4,399.75,397.5,395.45,382.75,370.65,368.15,370.3
CHAMBLFERT,484.7,479.85,468.85,464,466.6,466.1,463.55,469.3,464,457.25,457.5,459.15,440.45,446.7,442.15,442.6,440.15,441.7,438.95,434.35,433.4,431.85
PNCINFRA,279,277.45,276.8,274.2,281.45,278.2,274.05,266.9,263.4,262,262.65,261.45,251.75,248.9,252,251.8,247.4,246.04,245.73,241.79,244.12,249.01
SUMICHEM,480.05,475.15,472.7,473.8,475.65,468,464.8,463.35,456.15,458.1,455.35,451.7,444.9,451.1,456.25,458.8,466,473.05,460.2,462.15,465.35,465.25
MINDACORP,573.35,579.2,590.35,597.4,607.6,605.35,601.15,605.45,595.25,605.3,601.95,595.2,586.2,593.4,595.65,586.7,581.25,576.65,600.9,590.25,590.75,586.15
DELHIVERY,442.6,429.55,427.6,430.1,431.4,434.05,436.4,440.1,435.85,436,426,418.4,405.85,410.65,419.4,425.25,426.2,417.6,409.1,401.95,401.6,404.6
JBCHEPHARM,1691.8,1702.9,1813.3,1828.4,1819.5,1818.6,1823,1821.5,1797.6,1752,1748.4,1729.6,1756.6,1771.3,1780.9,1773.3,1771.3,1767,1764.5,1763.5,1821.7,1825.4
RCF,61.5,60.02,58.5,59.38,60.74,59.46,57.46,56.26,58.2,56.76,58.36,60.4,59.42,57.5,57.5,59.26,57.6,57.6,56.96,58.72,60.12
STARHEALTH,486.7,488.65,490.75,490,497.6,500.85,522.45,520.25,515.55,507.75,505.55,491.4,496.9,496.25,489.8,491,487.95,481,479.3,471.55,465,457.85
AMBUJACEM,558.4,558.8,556.1,557.55,562.55,559.35,563.2,560.3,557.8,555.3,555.75,547.55,544.6,545.85,550,548.7,550.2,543.35,543,535.35,536.9,533.8
HINDUNILVR,2436,2414,2408.8,2427.5,2424.5,2407.6,2427.7,2425,2404,2441.6,2428.4,2433.7,2424.2,2414.1,2425.2,2451.7,2466.6,2464.5,2477.8,2448,2462.2,2338.6
VOLTAS,1292.4,1321.5,1340.7,1303.8,1337.6,1336.9,1350.9,1373.9,1384.2,1401.8,1411.8,1395.8,1354.6,1356.3,1387,1398,1376.3,1360.4,1352.9,1335.9,1329.4,1327
MAHSEAMLES,547.65,548.55,550.45,554.05,562.3,562.75,562.95,563.4,565.2,565.45,571,572.05,571.05,585,579.45,575.1,589.1,589.35,572.9,560,572.45,571.8
COLPAL,2173.6,2167.2,2171.2,2182.1,2177.4,2174,2172.7,2186.6,2180.7,2183.4,2179.7,2180.6,2156.7,2167.7,2185,2171.3,2168.6,2152.9,2158.2,2101.9,2138.1,2164.4
DABUR,523.7,518.65,515.45,519.95,522.3,522.2,525,524.25,520.85,517.55,525.05,515.65,512.4,514.4,517.2,519.15,517.4,515.25,507.95,506,508.1,510.1
GLAXO,2605.5,2587.9,2539.8,2476.3,2506.7,2494.5,2479.4,2493.1,2487.9,2519,2509,2497.9,2477,2486.1,2489.3,2519.6,2569.5,2495.4,2519.6,2518.9,2510.8,2545.6
IOB,10.96,10.44,10.6,10.82,10.48,10.74,10.58,10.46,10.12,10.08,10.56,10.34,11,11.02,10.82,10.76,11.18,11.1,11,10.88,10.94,11.54
LEMONTREE,166.05,162.71,161.19,159.55,163.24,155.19,156.52,156.74,155.12,150.98,152.46,153.75,148.43,150,151.54,154.35,158.27,163.28,162.27,162.85,162.1,164.53
DCMSHRIRAM,1230,1243.9,1246.3,1234.7,1236.2,1235.2,1236.4,1211,1190.6,1177.9,1174.2,1268.5,1201.3,1189.7,1259,1228.6,1216,1206.9,1220.6,1221.3,1227,1220.9
KEC,24.56,24.53,24.53,24.55,24.53,24.6,24.6,24.52,24.54,24.53,24.55,24.61,24.6,24.6,24.55,24.61,24.55,24.6,24.61,24.64,24.65,24.6
TBOTEK,1578.6,1600,1618.7,1590.6,1604.3,1563,1572.4,1617,1621.4,1610.2,1678,1710,1730.7,1705.3,1687.2,1699.8,1652.3,1683.7,1697.8,1689.8,1671.3,1625.3
TORNTPHARM,3553.4,3580,3817.5,3825.8,3824.6,3826.1,3831.8,3819.4,3790.8,3731.4,3721.4,3686.5,3718.4,3745.2,3755.8,3730.4,3720.6,3736.9,3728,3720.9,3795.7,3785.9
ZFCVINDIA,12802,12680,12660,12599,12854,12800,12688,12699,12631,12963,13047,12962,12931,12787,12893,13095,13204,14827,14413,14787,14865,14793
